Phrase,IPA,ES Pronunciation,ES Translation,Island
I need a new pair of shoes.,/aɪ niːd ə njuː peər ɒv ʃuːz/,ai nid a niu peir ov shus.,Necesito un par de zapatos nuevo.,07 necklace / scarf
The shoestring is very long.,/ðə ˈʃuːstrɪŋ ɪz ˈvɛri lɒŋ/,de shustring is veri long.,El cordón del zapato es muy largo.,07 necklace / scarf
The shoestring is not very long.,/ðə ˈʃuːstrɪŋ ɪz nɒt ˈvɛri lɒŋ/,de shustring is not veri long.,El cordón del zapato no es muy largo.,07 necklace / scarf
Is the shoestring very long?,/ɪz ðə ˈʃuːstrɪŋ ˈvɛri lɒŋ/,is de shustring veri long?,¿Es el cordón del zapato muy largo?,07 necklace / scarf
How long is the shoestring?,/haʊ lɒŋ ɪz ðə ˈʃuːstrɪŋ/,jau long is de shústring?,¿De qué longitud es el cordón?,07 necklace / scarf
The shoestring was very long.,/ðə ˈʃuːstrɪŋ wɒz ˈvɛri lɒŋ/,de shustring guoz veri long.,El cordón del zapato era muy largo.,07 necklace / scarf
Please lace up your boots.,/pliːz leɪs ʌp jɔː buːts/,plis leis ap yur boots.,"Por favor, ata tus botas.",07 necklace / scarf
He uses a shoehorn for his shoes.,/hiː ˈjuːzɪz ə ˈʃuːhɔːn fɔː hɪz ʃuːz/,ji yuses a shuhorn for jis shus.,Él usa un calzador para sus zapatos.,07 necklace / scarf
Put the shoe polish on the shoe.,/pʊt ðə ʃuː pɒlɪʃ ɒn ðə ʃuː/,put de shu polish on de shu.,Pon el betún en el zapato.,07 necklace / scarf
This shirt is made of cotton.,/ðɪs ʃɜːt ɪz meɪd ɒv ˈkɒtən/,dis shert is meid ov cotón.,Esta camisa está hecha de algodón.,07 necklace / scarf
I like the cotton dress.,/aɪ laɪk ðə ˈkɒtən drɛs/,ai laik de cotón dres.,Me gusta el vestido de algodón.,07 necklace / scarf
The fabric comes from flax.,/ðə ˈfæbrɪk kʌmz frɒm flæks/,de fabric cams from flaks.,La tela viene del lino.,07 necklace / scarf
She wears a flax shirt.,/ʃiː weəz ə flæks ʃɜːt/,shi uers a flaks shert.,Ella lleva una camisa de lino.,07 necklace / scarf
The tie is made of silk.,/ðə taɪ ɪz meɪd ɒv sɪlk/,de tai is meid ov silk.,La corbata está hecha de seda.,07 necklace / scarf
She has a silk scarf.,/ʃiː hæz ə sɪlk skɑːf/,shi jas a silk scarf.,Ella tiene un pañuelo de seda.,07 necklace / scarf
My sweater is made of wool.,/maɪ ˈswɛtə ɪz meɪd ɒv wʊl/,mai sweater is meid ov wool.,Mi suéter está hecho de lana.,07 necklace / scarf
It is a woolen coat.,/ɪt ɪz ə ˈwʊlən kəʊt/,it is a woolen coat.,Es un abrigo de lana.,07 necklace / scarf
The chair is made of velvet.,/ðə ʧeə ɪz meɪd ɒv ˈvɛlvɪt/,de cheir is meid ov velvet.,La silla está hecha de terciopelo.,07 necklace / scarf
He likes suede shoes.,/hiː laɪks sweɪd ʃuːz/,ji laiks suede shus.,A él le gustan los zapatos de ante.,07 necklace / scarf
These pants are corduroy.,/ðiːz pænts ɑː ˈkɔːdərɔɪ/,dis pants ar corduroy.,Estos pantalones son de pana.,07 necklace / scarf
The bag is made of nylon.,/ðə bæg ɪz meɪd ɒv ˈnaɪlɒn/,de bag is meid ov nailon.,La bolsa está hecha de nailon.,07 necklace / scarf
She wears nylon stockings.,/ʃiː weəz ˈnaɪlɒn ˈstɒkɪŋz/,shi uers nailon stockings.,Ella usa medias de nailon.,07 necklace / scarf
This shirt is one hundred percent polyester.,/ðɪs ʃɜːt ɪz wʌn ˈhʌndrəd pəˈsɛnt ˈpɒlɪɛstə/,dis shert is uan jandred persént polyester.,Esta camisa es cien por ciento poliéster.,07 necklace / scarf
It is a polyester suit.,/ɪt ɪz ə ˈpɒlɪɛstə suːt/,it is a polyester suit.,Es un traje de poliéster.,07 necklace / scarf
My shoes are made of leather.,/maɪ ʃuːz ɑː meɪd ɒv ˈlɛðə/,mai shus ar meid ov leder.,Mis zapatos están hechos de cuero.,07 necklace / scarf
He has a leather jacket.,/hiː hæz ə ˈlɛðə ˈʒækɪt/,ji jas a leder yacket.,Él tiene una chaqueta de cuero.,07 necklace / scarf
The cat has soft fur.,/ðə kæt hæz sɒft fɜː/,de cat jas soft fer.,El gato tiene pelaje suave.,07 necklace / scarf
She wears a fur coat.,/ʃiː weəz ə fɜː kəʊt/,shi uers a fer coat.,Ella lleva un abrigo de piel.,07 necklace / scarf
I wear gloves in winter.,/aɪ weər ɡlʌvz ɪn ˈwɪntə/,ai wer glavz in winter.,Uso guantes en invierno.,07 necklace / scarf
My mittens are red.,/maɪ ˈmɪtənz ɑː rɛd/,mai mitens ar red.,Mis mitones son rojos.,07 necklace / scarf
She has a blue scarf.,/ʃiː hæz ə bluː skɑːf/,shi jas a blu scarf.,Ella tiene una bufanda azul.,07 necklace / scarf
She does not have a blue scarf.,/ʃiː dʌz nɒt hæv ə bluː skɑːf/,shi daz not jav a blu scarf.,Ella no tiene una bufanda azul.,07 necklace / scarf
Does she have a blue scarf?,/dʌz ʃiː hæv ə bluː skɑːf/,daz shi jav a blu scarf?,¿Ella tiene una bufanda azul?,07 necklace / scarf
Who has a blue scarf?,/huː hæz ə bluː skɑːf/,ju jaz a blu scarf?,¿Quién tiene una bufanda azul?,07 necklace / scarf
She had a blue scarf.,/ʃiː hæd ə bluː skɑːf/,shi jad a blu scarf.,Ella tenía una bufanda azul.,07 necklace / scarf
He wears glasses.,/hiː weəz ˈɡlɑːsɪz/,ji wer glases.,Él usa lentes.,07 necklace / scarf
The frame is black.,/ðə freɪm ɪz blæk/,de freim is black.,El marco es negro.,07 necklace / scarf
I have an umbrella.,/aɪ hæv ən ʌmˈbrɛlə/,ai jav an um brela.,Tengo un paraguas.,07 necklace / scarf
He uses a walking stick.,/hiː ˈjuːzɪz ə ˈwɔːkɪŋ stɪk/,ji yusis a uoking stick.,Él usa un bastón.,07 necklace / scarf
I need a hairbrush.,/aɪ niːd ə ˈheəbrʌʃ/,ai nid a jearbrash.,Necesito un cepillo para el cabello.,07 necklace / scarf
The fan is fast.,/ðə fæn ɪz fɑːst/,de fan is fast.,El ventilador es rápido.,07 necklace / scarf
He wears a necktie.,/hiː weəz ə ˈnɛktaɪ/,ji wer a nektai.,Él usa una corbata.,07 necklace / scarf
I like the bow tie.,/aɪ laɪk ðə ˈbaʊ taɪ/,ai laik de bow tai.,Me gusta la corbata de lazo.,07 necklace / scarf
He wears suspenders.,/hiː weəz səˈspɛndəz/,ji wer suspenders.,Él usa tirantes.,07 necklace / scarf
This is a handkerchief.,/ðɪs ɪz ə ˈhæŋkətʃiːf/,dis is a jankertshif.,Este es un pañuelo.,07 necklace / scarf
Use the comb.,/juːz ðə kəʊm/,yus de com.,Usa el peine.,07 necklace / scarf
She wears a barrette.,/ʃiː weəz ə bəˈrɛt/,shi wer a barett.,Ella usa una horquilla.,07 necklace / scarf
I lost a hairpin.,/aɪ lɒst ə ˈheəpɪn/,ai lost a jearpin.,Perdí un horquillo.,07 necklace / scarf
The buckle is gold.,/ðə ˈbʌkəl ɪz ɡəʊld/,de bakel is gould.,La hebilla es dorada.,07 necklace / scarf
My belt is brown.,/maɪ bɛlt ɪz braʊn/,mai belt is braun.,Mi cinturón es marrón.,07 necklace / scarf
The shoulder strap is long.,/ðə ˈʃəʊldə stræp ɪz lɒŋ/,de sholder strap is long.,La correa del hombro es larga.,07 necklace / scarf
This is my bag.,/ðɪs ɪz maɪ bæɡ/,dis is mai bag.,Este es mi bolso.,07 necklace / scarf
She has a purse.,/ʃiː hæz ə pɜːs/,shi jas a purs.,Ella tiene un monedero.,07 necklace / scarf
She doesn't have a purse.,/ʃiː ˈdʌznt hæv ə pɜːs/,shi dasent jav a purs.,Ella no tiene un monedero.,07 necklace / scarf
Does she have a purse?,/dʌz ʃiː hæv ə pɜːs/,das shi jav a purs?,¿Ella tiene un monedero?,07 necklace / scarf
Whose purse is it?,/huːz pɜːs ɪz ɪt/,jus purs is it?,¿De quién es el monedero?,07 necklace / scarf
She had a purse.,/ʃiː hæd ə pɜːs/,shi jad a purs.,Ella tenía un monedero.,07 necklace / scarf
I use a backpack.,/aɪ juːz ə ˈbækpæk/,ai yus a bakkpak.,Uso una mochila.,07 necklace / scarf
I like fashion.,/aɪ laɪk ˈfæʃən/,ai laik fashon.,Me gusta la moda.,07 necklace / scarf
I don't like fashion.,/aɪ dəʊnt laɪk ˈfæʃən/,ai dont laik fashon.,No me gusta la moda.,07 necklace / scarf
Do you like fashion?,/duː juː laɪk ˈfæʃən/,du iu laik fashon?,¿Te gusta la moda?,07 necklace / scarf
What kind of fashion do you like?,/wɒt kaɪnd ɒv ˈfæʃn duː juː laɪk/,uot kaind ov fashan du iu laik?,¿Qué tipo de moda te gusta?,07 necklace / scarf
I liked fashion.,/aɪ laɪkt ˈfæʃən/,ai laikt fashon.,Me gustaba la moda.,07 necklace / scarf
This style is in vogue.,/ðɪs staɪl ɪz ɪn vəʊɡ/,dis stail is in vog.,Este estilo está de moda.,07 necklace / scarf
He is a fashion designer.,/hiː ɪz ə ˈfæʃən dɪˈzaɪnə/,ji is a fashon disainer.,Él es diseñador de moda.,07 necklace / scarf
The shirt has a white collar.,/ðə ʃɜːt hæz ə waɪt ˈkɒlə/,de shert jas ə wáit cóler,La camisa tiene un cuello blanco.,07 necklace / scarf
I put keys in my pocket.,/aɪ pʊt kiːz ɪn maɪ ˈpɒkɪt/,ai put kís in mai pákit,Pongo las llaves en mi bolsillo.,07 necklace / scarf
This is a small pocket book.,/ðɪs ɪz ə smɔːl ˈpɒkɪt bʊk/,dis is ə smól pákit buk,Este es un libro de bolsillo.,07 necklace / scarf
The sleeve is too long.,/ðə sliːv ɪz tuː lɒŋ/,de sliiv is tu long,La manga es muy larga.,07 necklace / scarf
Use the hanging loop on the shirt.,/juːz ðə ˈhæŋɪŋ luːp ɒn ðə ʃɜːt/,yus de jángin lup on de shert,Usa el lazo para colgar de la camisa.,07 necklace / scarf
The fly is open.,/ðə flaɪ ɪz ˈəʊpən/,de flai is óupen,La bragueta está abierta.,07 necklace / scarf
Please fix the zipper.,/pliːz fɪks ðə ˈzɪpə/,plís fiks de zíper,Por favor arregla el cierre.,07 necklace / scarf
This coat has a metal fastener.,/ðɪs kəʊt hæz ə ˈmɛtl ˈfɑːsənə/,dis cóut jas ə méttal fáisener,Este abrigo tiene un broche de metal.,07 necklace / scarf
There is a red button.,/ðeər ɪz ə rɛd ˈbʌtn/,der is ə red báton,Hay un botón rojo.,07 necklace / scarf
Put the button in the buttonhole.,/pʊt ðə ˈbʌtn ɪn ðə ˈbʌtnˌhəʊl/,put de báton in de bátonjól,Pon el botón en el ojal.,07 necklace / scarf
The button came off.,/ðə ˈbʌtn keɪm ɒf/,de báton kéim of,El botón se cayó.,07 necklace / scarf
I can sew a dress.,/aɪ kæn səʊ ə drɛs/,ai ken sóu ə dres,Puedo coser un vestido.,07 necklace / scarf
She likes to embroider flowers.,/ʃiː laɪks tuː ɪmˈbrɔɪdə flaʊəz/,shi laiks tu imbróider fláuers,A ella le gusta bordar flores.,07 necklace / scarf
The embroidery is beautiful.,/ðɪ ɪmˈbrɔɪdəri ɪz ˈbjuːtɪfʊl/,de imbróideri is biútiful,El bordado es hermoso.,07 necklace / scarf
I need a sewing needle.,/aɪ niːd ə ˈsəʊɪŋ ˈniːdl/,ai nid ə sóuín nidl,Necesito una aguja de coser.,07 necklace / scarf
Use this black thread.,/juːz ðɪs blæk θrɛd/,yus dis blak zred,Usa este hilo negro.,07 necklace / scarf
The seam is strong.,/ðə siːm ɪz strɒŋ/,de sim is strong,La costura es fuerte.,07 necklace / scarf
My shirt gets dirty.,/maɪ ʃɜːt gɛts ˈdɜːti/,mai shert gets dérti,Mi camisa se ensucia.,07 necklace / scarf
There is a stain on the cloth.,/ðeər ɪz ə steɪn ɒn ðə klɒθ/,der is ə stein on de kloz,Hay una mancha en la tela.,07 necklace / scarf
Do not crease the paper.,/duː nɒt kriːs ðə ˈpeɪpə/,du not crís de peiper,No arrugues el papel.,07 necklace / scarf
I tear the paper.,/aɪ teə ðə ˈpeɪpə/,ai teer de peiper,Rasgo el papel.,07 necklace / scarf
The clothes moth eats the wool.,/ðə kləʊðz mɒθ iːts ðə wʊl/,de clóuzs mos its de wul,La polilla de la ropa come la lana.,07 necklace / scarf
Use the toothpaste.,/juːz ðə ˈtuːθpeɪst/,yus de túspeist,Usa la pasta de dientes.,07 necklace / scarf
My toothbrush is blue.,/maɪ ˈtuːθbrʌʃ ɪz bluː/,mai túsbrash is blú,Mi cepillo de dientes es azul.,07 necklace / scarf
I brush my teeth.,/aɪ brʌʃ maɪ tiːθ/,ai brash mai tís,Me cepillo los dientes.,07 necklace / scarf
I need a new razor.,/aɪ niːd ə njuː ˈreɪzə/,ai nid a niu reisor.,Necesito una nueva rasuradora.,07 necklace / scarf
He uses shaving cream.,/hiː juːzɪz ˈʃeɪvɪŋ kriːm/,ji yusis sheivink krim.,Él usa crema de afeitar.,07 necklace / scarf
He shaves every day.,/hiː ʃeɪvz ˈɛvri deɪ/,ji sheivs evri dei.,Él se afeita todos los días.,07 necklace / scarf
Please wash with soap.,/pliːz wɒʃ wɪð səʊp/,plis guash wid sop.,Por favor lávese con jabón.,07 necklace / scarf
She buys shampoo.,/ʃiː baɪz ʃæmˈpuː/,shi bais shampu.,Ella compra champú.,07 necklace / scarf
Use the scissors.,/juːz ðə ˈsɪzəz/,yus de sisors.,Usa las tijeras.,07 necklace / scarf
This is a nail file.,/ðɪs ɪz ə neɪl faɪl/,dis is a neil fail.,Esto es una lima de uñas.,07 necklace / scarf
I use nail clippers.,/aɪ juːz neɪl ˈklɪpəz/,ai yus neil clippers.,Uso un cortaúñas.,07 necklace / scarf
She uses tweezers.,/ʃiː juːzɪz ˈtwiːzəz/,shi yusis twisors.,Ella usa pinzas.,07 necklace / scarf
She likes cosmetics.,/ʃiː laɪks kɒzˈmɛtɪks/,shi laiks kosmetiks.,A ella le gustan los cosméticos.,07 necklace / scarf
He wears a face mask.,/hiː weəz ə feɪs mɑːsk/,ji uers a feis mask.,Él usa una mascarilla facial.,07 necklace / scarf
She gets a manicure.,/ʃiː gɛts ə ˈmænɪkjʊə/,shi gets a manicur.,Ella se hace una manicura.,07 necklace / scarf
I like a pedicure.,/aɪ laɪk ə ˈpɛdɪkjʊə/,ai laik a pedicur.,Me gusta la pedicura.,07 necklace / scarf
I do not like a pedicure.,/aɪ dʊ nɒt laɪk ə ˈpɛdɪkjʊə/,ai du not laik a pedicur.,No me gusta la pedicura.,07 necklace / scarf
Do you like a pedicure?,/duː juː laɪk ə ˈpɛdɪkjʊə/,du iu laik a pedicur?,¿Te gusta la pedicura?,07 necklace / scarf
How often do you get a pedicure?,/haʊ ˈɒfən duː juː ɡɛt ə ˈpɛdɪkjʊə/,jau ofen du iu guet a pedicur?,¿Con qué frecuencia te haces una pedicura?,07 necklace / scarf
I liked a pedicure.,/aɪ laɪkt ə ˈpɛdɪkjʊə/,ai laikt a pedicur.,Me gustó la pedicura.,07 necklace / scarf
This is a make-up bag.,/ðɪs ɪz ə meɪk ʌp bæg/,dis is a meik ap bag.,Este es un bolso de maquillaje.,07 necklace / scarf
She uses face powder.,/ʃiː juːzɪz feɪs ˈpaʊdə/,shi yusis feis pauder.,Ella usa polvos faciales.,07 necklace / scarf
I have a powder compact.,/aɪ hæv ə ˈpaʊdə ˈkɒmpækt/,ai jav a pauder compact.,Tengo un polvo compacto.,07 necklace / scarf
She puts on blusher.,/ʃiː pʊts ɒn ˈblʌʃə/,shi puts on blasher.,Ella se pone rubor.,07 necklace / scarf
I like this perfume.,/aɪ laɪk ðɪs pəˈfjuːm/,ai laik dis perfium.,Me gusta este perfume.,07 necklace / scarf
I do not like this perfume.,/aɪ dʊ nɒt laɪk ðɪs pəˈfjuːm/,ai du not laik dis perfium.,No me gusta este perfume.,07 necklace / scarf
Do you like this perfume?,/duː juː laɪk ðɪs pəˈfjuːm/,du iu laik dis perfium?,¿Te gusta este perfume?,07 necklace / scarf
Where did you buy this perfume?,/weə dɪd juː baɪ ðɪs pəˈfjuːm/,güer did iu bai dis perfium?,¿Dónde compraste este perfume?,07 necklace / scarf
I liked this perfume.,/aɪ laɪkt ðɪs pəˈfjuːm/,ai laikt dis perfium.,Me gustó este perfume.,07 necklace / scarf
Use the lotion.,/juːz ðə ˈləʊʃən/,yus de loshon.,Usa la loción.,07 necklace / scarf
He wears cologne.,/hiː weəz kəˈləʊn/,ji uers kolon.,Él usa colonia.,07 necklace / scarf
She wears eyeshadow.,/ʃiː weəz ˈaɪˌʃædəʊ/,shi uers aishedou.,Ella usa sombra de ojos.,07 necklace / scarf
Use black eyeliner.,/juːz blæk ˈaɪˌlaɪnə/,yus blak ailainer.,Usa delineador negro.,07 necklace / scarf
She puts on mascara.,/ʃiː pʊts ɒn mæsˈkɑːrə/,shi puts on mascara.,Ella se pone rimel.,07 necklace / scarf
She wears red lipstick.,/ʃiː weəz rɛd ˈlɪpstɪk/,shi uers red lipstick.,Ella usa lápiz de labios rojo.,07 necklace / scarf
She likes nail polish.,/ʃiː laɪks neɪl ˈpɒlɪʃ/,shi laiks neil polish.,A ella le gusta el esmalte de uñas.,07 necklace / scarf
I use hair spray.,/aɪ juːz hɛə spreɪ/,ai yus jair esprei.,Uso laca para el pelo.,07 necklace / scarf
She needs deodorant.,/ʃiː niːdz ˈdiːəʊdərənt/,shi nidz dioderant.,Ella necesita desodorante.,07 necklace / scarf
This is a cream.,/ðɪs ɪz ə kriːm/,dis is a krim.,Esta es una crema.,07 necklace / scarf
He buys face cream.,/hiː baɪz feɪs kriːm/,ji bais feis krim.,Él compra crema facial.,07 necklace / scarf
I like hand cream.,/aɪ laɪk hænd kriːm/,ai laik jand krim.,Me gusta la crema de manos.,07 necklace / scarf
It is anti-wrinkle cream.,/ɪt ɪz ˈæntɪ rɪŋkəl kriːm/,it is antI rinkol krim.,Es crema antiarrugas.,07 necklace / scarf
Use this day cream.,/juːz ðɪs deɪ kriːm/,yus dis dei krim.,Usa esta crema de día.,07 necklace / scarf
She uses night cream.,/ʃiː juːzɪz naɪt kriːm/,shi yusis nait krim.,Ella usa crema de noche.,07 necklace / scarf
I like day time.,/aɪ laɪk deɪ taɪm/,ai laik dei taim.,Me gusta el día.,07 necklace / scarf
I do not like day time.,/aɪ dʊ nɒt laɪk deɪ taɪm/,ai du not laik dei taim.,No me gusta el día.,07 necklace / scarf
Do you like day time?,/duː juː laɪk deɪ taɪm/,du iu laik dei taim?,¿Te gusta el día?,07 necklace / scarf
What do you do in the day time?,/wɒt duː juː duː ɪn ðə deɪ taɪm/,guot du iu du in de dei taim?,¿Qué haces durante el día?,07 necklace / scarf
I liked day time.,/aɪ laɪkt deɪ taɪm/,ai laikt dei taim.,Me gustaba el día.,07 necklace / scarf
It is a night bus.,/ɪt ɪz ə naɪt bʌs/,it is a nait bas.,Es un autobús nocturno.,07 necklace / scarf
She buys a tampon.,/ʃiː baɪz ə ˈtæmpɒn/,shi bais a tampon.,Ella compra un tampón.,07 necklace / scarf
We need toilet paper.,/wiː niːd ˈtɔɪlɪt ˈpeɪpə/,ui nid toilet peiper.,Necesitamos papel higiénico.,07 necklace / scarf
Use the hair dryer.,/juːz ðə hɛə draɪə/,yus de jair draier.,Usa el secador de pelo.,07 necklace / scarf
She likes jewelry.,/ʃiː laɪks ˈdʒuːəlri/,shi laiks yuelri.,A ella le gustan las joyas.,07 necklace / scarf
It is a precious stone.,/ɪt ɪz ə ˈprɛʃəs stəʊn/,it is a preshios ston.,Es una piedra preciosa.,07 necklace / scarf
See the hallmark.,/siː ðə ˈhɔːlmɑːk/,si de jolmark.,Mira la marca de la plata.,07 necklace / scarf
I have a ring.,/aɪ hæv ə rɪŋ/,ai jav a ring.,Tengo un anillo.,07 necklace / scarf
This is a wedding ring.,/ðɪs ɪz ə ˈwɛdɪŋ rɪŋ/,dis is a ueding ring.,Este es un anillo de bodas.,07 necklace / scarf
She wears a bracelet.,/ʃiː wɛəz ə ˈbreɪslɪt/,shi uers a braislet.,Ella lleva una pulsera.,07 necklace / scarf
I buy earrings.,/aɪ baɪ ˈɪərɪŋz/,ai bais irings.,Compro pendientes.,07 necklace / scarf
She has a necklace.,/ʃiː hæz ə ˈnɛklɪs/,shi jas a neklis.,Ella tiene un collar.,07 necklace / scarf
She doesn't have a necklace.,/ʃiː ˈdʌznt hæv ə ˈnɛklɪs/,shi dasent jav a neklis.,Ella no tiene un collar.,07 necklace / scarf
Does she have a necklace?,/dʌz ʃiː hæv ə ˈnɛklɪs/,das shi jav a neklis?,¿Ella tiene un collar?,07 necklace / scarf
What color is her necklace?,/wɒt ˈkʌlər ɪz hɜːr ˈnɛklɪs/,wot kaler is jer neklis?,¿De qué color es su collar?,07 necklace / scarf
She had a necklace.,/ʃiː hæd ə ˈnɛklɪs/,shi jad a neklis.,Ella tenía un collar.,07 necklace / scarf
The king has a crown.,/ðə kɪŋ hæz ə kraʊn/,de king jas a krawn.,El rey tiene una corona.,07 necklace / scarf
It is a bead necklace.,/ɪt ɪz ə biːd ˈnɛklɪs/,it is a bid neklis.,Es un collar de cuentas.,07 necklace / scarf
I see a diamond.,/aɪ siː ə ˈdaɪəmənd/,ai si a daimond.,Veo un diamante.,07 necklace / scarf
She loves emerald.,/ʃiː lʌvz ˈɛmərəld/,shi lavs emerald.,A ella le gusta la esmeralda.,07 necklace / scarf
The ruby is very red.,/ðə ˈruːbi ɪz ˈvɛri rɛd/,de ruby is beri red.,El rubí es muy rojo.,07 necklace / scarf
The ruby is not very red.,/ðə ˈruːbi ɪz nɒt ˈvɛri rɛd/,de ruby is not veri red.,El rubí no es muy rojo.,07 necklace / scarf
Is the ruby very red?,/ɪz ðə ˈruːbi ˈvɛri rɛd/,is de ruby veri red?,¿Es el rubí muy rojo?,07 necklace / scarf
How red is the ruby?,/haʊ rɛd ɪz ðə ˈruːbi/,jau red is de ruby?,¿Qué tan rojo es el rubí?,07 necklace / scarf
The ruby was very red.,/ðə ˈruːbi wɒz ˈvɛri rɛd/,de ruby guoz veri red.,El rubí era muy rojo.,07 necklace / scarf
I like the blue sapphire.,/aɪ laɪk ðə bluː ˈsæfaɪər/,ai laik de blu sapphire.,Me gusta el zafiro azul.,07 necklace / scarf
She has a pearl necklace.,/ʃi hæz ə pɜːrl ˈnɛkləs/,shi jas a pearl nekles.,Ella tiene un collar de perlas.,07 necklace / scarf
The amber is yellow.,/ðə ˈæmbər ɪz ˈjɛloʊ/,de amber is yelow.,El ámbar es amarillo.,07 necklace / scarf
He wears a black watch.,/hi wɛərz ə blæk wɒtʃ/,ji uers a black guatch.,Él lleva un reloj negro.,07 necklace / scarf
The dial is white.,/ðə ˈdaɪəl ɪz waɪt/,de dail is uait.,La esfera del reloj es blanca.,07 necklace / scarf
The hand moves fast.,/ðə hænd muːvz fæst/,de hand muvs fast.,La aguja se mueve rápido.,07 necklace / scarf
This is a metal watch band.,/ðɪs ɪz ə ˈmɛtl wɒtʃ bænd/,dis is a metal guatch band.,Esta es una correa de metal.,07 necklace / scarf
The watch strap is brown.,/ðə wɒtʃ stræp ɪz braʊn/,de guatch strap is braun.,La correa del reloj es marrón.,07 necklace / scarf
The battery is small.,/ðə ˈbætri ɪz smɔːl/,de bateri is smol.,La batería es pequeña.,07 necklace / scarf
The battery is dead.,/ðə ˈbætri ɪz dɛd/,de bateri is ded.,La batería está muerta.,07 necklace / scarf
I change the battery.,/aɪ tʃeɪndʒ ðə ˈbætri/,ai cheinch de bateri.,Yo cambio la batería.,07 necklace / scarf
The dog runs fast.,/ðə dɒg rʌnz fæst/,de dog rans fast.,El perro corre rápido.,07 necklace / scarf
The old clock runs slow.,/ðə oʊld klɒk rʌnz sloʊ/,de old clok rans slow.,El reloj viejo va lento.,07 necklace / scarf
The wall clock is big.,/ðə wɔːl klɒk ɪz bɪg/,de uol clok is big.,El reloj de pared es grande.,07 necklace / scarf
Look at the hourglass.,/lʊk æt ðə ˈaʊərɡlæs/,luk at de auerglass.,Mira el reloj de arena.,07 necklace / scarf
The sundial is in the garden.,/ðə ˈsʌndaɪəl ɪz ɪn ðə ˈɡɑːrdn/,de sundial is in de garden.,El reloj de sol está en el jardín.,07 necklace / scarf
My alarm clock rings.,/maɪ əˈlɑːrm klɒk rɪŋz/,mai alarm clok rings.,Mi despertador suena.,07 necklace / scarf
The watchmaker is nice.,/ðə ˈwɒtʃˌmeɪkər ɪz naɪs/,de guatchmeiker is nais.,El relojero es amable.,07 necklace / scarf
He can repair the car.,/hi kæn rɪˈpɛər ðə kɑːr/,ji can riper de car.,Él puede reparar el coche.,07 necklace / scarf
I eat meat for dinner.,/aɪ iːt miːt fɔːr ˈdɪnər/,ai it mit for dinner.,Como carne para la cena.,07 necklace / scarf
The chicken is in the yard.,/ðə ˈtʃɪkɪn ɪz ɪn ðə jɑːrd/,de chiken is in de yard.,El pollo está en el patio.,07 necklace / scarf
The young chicken eats corn.,/ðə jʌŋ ˈtʃɪkɪn iːts kɔːrn/,de yang chiken its corn.,El pollo joven come maíz.,07 necklace / scarf
The duck swims in the lake.,/ðə dʌk swɪmz ɪn ðə leɪk/,de duck swims in de leik.,El pato nada en el lago.,07 necklace / scarf
The goose is white.,/ðə ɡuːs ɪz waɪt/,de gus is uait.,El ganso es blanco.,07 necklace / scarf
I like this game.,/aɪ laɪk ðɪs ɡeɪm/,ai laik dis geim.,Me gusta este juego.,07 necklace / scarf
I don't like this game.,/aɪ dəʊnt laɪk ðɪs ɡeɪm/,ai dont laik dis geim.,No me gusta este juego.,07 necklace / scarf
Do you like this game?,/duː juː laɪk ðɪs ɡeɪm/,du iu laik dis geim?,¿Te gusta este juego?,07 necklace / scarf
When do you play this game?,/wɛn duː juː pleɪ ðɪs ɡeɪm/,wen du iu plei dis geim?,¿Cuándo juegas a este juego?,07 necklace / scarf
I liked this game.,/aɪ laɪkt ðɪs ɡeɪm/,ai laikt dis geim.,Me gustó este juego.,07 necklace / scarf
We eat turkey.,/wiː iːt ˈtɜːki/,ui iit terki.,Nosotros comemos pavo.,07 necklace / scarf
He cooks pork.,/hiː kʊks pɔːk/,ji cooks pork.,Él cocina cerdo.,07 necklace / scarf
She likes veal.,/ʃiː laɪks viːl/,shi laiks vil.,A ella le gusta el ternera.,07 necklace / scarf
It is lamb.,/ɪt ɪz læm/,it iz lam.,Es cordero.,07 necklace / scarf
I eat beef.,/aɪ iːt biːf/,ai iit bif.,Como carne de res.,08 eat / potatoes
The rabbit runs.,/ðə ˈræbɪt rʌnz/,de rabbit rans.,El conejo corre.,08 eat / potatoes
I want a sausage.,/aɪ wɒnt ə ˈsɒsɪdʒ/,ai uant a sosich.,Quiero un salchicha.,08 eat / potatoes
It is a vienna sausage.,/ɪt ɪz ə viːˈænə ˈsɒsɪdʒ/,it iz a viena sosich.,Es una salchicha de Viena.,08 eat / potatoes
I like bacon.,/aɪ laɪk ˈbeɪkən/,ai laik beicon.,Me gusta el tocino.,08 eat / potatoes
This is ham.,/ðɪs ɪz hæm/,dis is jam.,Esto es jamón.,08 eat / potatoes
He buys gammon.,/hiː baɪz ˈɡæmən/,ji bais gamon.,Él compra jamón curado.,08 eat / potatoes
I eat pâté.,/aɪ iːt ˈpæteɪ/,ai iit patei.,Como pastel de carne.,08 eat / potatoes
The liver is red.,/ðə ˈlɪvər ɪz rɛd/,de liver is red.,El hígado es rojo.,08 eat / potatoes
We use lard.,/wiː juːz lɑːd/,ui yus lard.,Nosotros usamos manteca.,08 eat / potatoes
It is ground beef.,/ɪt ɪz ɡraʊnd biːf/,it is graund bif.,Es carne molida.,08 eat / potatoes
