Phrase,IPA,ES Pronunciation,ES Translation
This song is very good.,/ðɪs sɒŋ ɪz ˈvɛri ɡʊd/,dis song is beri gud.,Esta canción es muy buena.
The act is very good.,/ðə ækt ɪz vɛri gʊd/,de akt is beri gud.,El acto es muy bueno.
I like this story.,/aɪ laɪk ðɪs ˈstɔːri/,ai laik dis stori.,Me gusta esta historia.
The train is here.,/ðə treɪn ɪz hɪə/,de trein is jier.,El tren está aquí.
I like poetry.,/aɪ laɪk ˈpəʊɪtri/,ai laik pouetri.,Me gusta la poesía.
I like the sculpture.,/aɪ laɪk ðə ˈskʌlptʃə/,ai laik de skulptcher.,Me gusta la escultura.
We like adventures.,/wiː laɪk ədˈvɛntʃəz/,ui laik aventchurs.,Nos gustan las aventuras.
I like the exotic.,/aɪ laɪk ðə ɪɡˈzɒtɪk/,ai laik de ezotik.,Me gusta lo exótico.
This room is very big.,/ðɪs ruːm ɪz ˈvɛri bɪɡ/,dis rum is veri big.,Esta habitación es muy grande.
I like to read.,/aɪ laɪk tuː riːd/,ai laik tu riid.,Me gusta leer.
The translation is very good.,/ðə trænsˈleɪʃən ɪz ˈvɛri gʊd/,de transleishon is beri gud.,La traducción es muy buena.
The plot is very good.,/ðə plɒt ɪz ˈvɛri gʊd/,de plot is beri gud.,La trama es muy buena.
I like hearts.,/aɪ laɪk hɑːts/,ai laik jarts.,Me gustan los corazones.
I like the safari.,/aɪ laɪk ðə səˈfɑːri/,ai laik de safari.,Me gusta el safari.
The catch is big.,/ðə kæʃ ɪz bɪg/,de cash is big.,La captura es grande.
I like blackjack.,/aɪ laɪk ˈblækdʒæk/,ai laik blackdyeak.,Me gusta el blackjack.
This is a big rifle.,/ðɪs ɪz ə bɪg ˈraɪfəl/,dis is a big raifol.,Este es un rifle grande.
The motel is big.,/ðə məʊˈtɛl ɪz bɪɡ/,de motel is big.,El motel es grande.
The wave is very big.,/ðə weɪv ɪz ˈvɛri bɪɡ/,de weiv is beri big.,La ola es muy grande.
This website is very big.,/ðɪs ˈwɛbsaɪt ɪz ˈvɛri bɪɡ/,dis websait is veri big.,Este sitio web es muy grande.
She has a suntan.,/ʃi hæz ə ˈsʌntæn/,shi jas a sultan,Ella tiene bronceado.
I like the sharpness.,/aɪ laɪk ðə ˈʃɑːrpnəs/,ai laik de sharpnes,Me gusta la nitidez.
The pool is big.,/ðə puːl ɪz bɪg/,de pul is big.,La piscina es grande.
It is a big adventure.,/ɪt ɪz ə bɪg ədˈvɛntʃər/,it is a big aventcher.,Es una gran aventura.
The tent is big.,/ðə tɛnt ɪz bɪɡ/,de tent is big.,La tienda es grande.
This computer has good memory.,/ðɪs kəmˈpjuːtər hæz ɡʊd ˈmɛməri/,dis comiuter jaz gud memori.,Esta computadora tiene buena memoria.
The data is here.,/ðə ˈdeɪtə ɪz hɪər/,de deita is jier.,Los datos están aquí.
I like water ski.,/aɪ laɪk ˈwɔːtə skiː/,ai laik uater ski.,Me gusta el esquí acuático.
It is very fast.,/ɪt ɪz ˈvɛri fɑːst/,it is veri fast.,Es muy rápido.
He has an ax.,/hiː hæz æn æks/,ji jav an ax.,Él tiene un hacha.
He has a crowbar.,/hiː hæz ə ˈkrəʊbɑː/,ji jas a cróubar.,Él tiene una palanca.
It is very rusty.,/ɪt ɪz ˈvɛri ˈrʌsti/,it is veri rasti.,Está muy oxidado.
The airline is big.,/ðə ˈeəlaɪn ɪz bɪɡ/,de airline is big.,La aerolínea es grande.
The wire is here.,/ðə ˈwaɪər ɪz hɪə/,de uáir is jier.,El cable está aquí.
The captain is here.,/ðə ˈkæptɪn ɪz hɪə/,de captain is jier.,El capitán está aquí.
The engineer is here.,/ðə ˌɛndʒɪˈnɪə ɪz hɪə/,de endyin-ir is jier,El maquinista está aquí.
This cable is very long.,/ðɪs ˈkeɪbəl ɪz ˈvɛri lɒŋ/,dis cable is veri long.,Este cable es muy largo.
The flight is very long.,/ðə flaɪt ɪz ˈvɛri lɒŋ/,de flait is beri long,El vuelo es muy largo.
The wardroom is very big.,/ðə ˈwɔːdruːm ɪz ˈvɛri bɪg/,de wardrum is veri big.,El camarote de oficiales es muy grande.
He has a motorcycle.,/hi hæz ə ˈmoʊtərsaɪkəl/,ji jas a motorsaicol.,Tiene una motocicletas.
I see a big ship.,/aɪ siː ə bɪɡ ʃɪp/,ai si a big ship.,Veo un barco grande.
We see the shallows here.,/wiː siː ðə ʃæləʊz hɪə/,ui si de shalows jier.,Vemos los bajos aquí.
I have my luggage here.,/aɪ hæv maɪ ˈlʌɡɪdʒ hɪə/,ai jav mai laguej jia.,Tengo mi equipaje aquí.
The airplane is very fast.,/ðiː ˈɛəpleɪn ɪz ˈvɛri fɑːst/,de air-plane is beri fast.,El avión es muy rápido.
I like the fast sports car.,/aɪ laɪk ðə fæst spɔːrts kɑːr/,ai laik de fast sports car.,Me gusta el coche deportivo rápido.
The ambulance is here.,/ðə ˈæmbjələns ɪz hɪr/,de ambulans is jir.,La ambulancia está aquí.
The landing was very good.,/ðə ˈlændɪŋ wɒz ˈvɛri gʊd/,de landing uoz beri gud.,El aterrizaje fue muy bueno.
The limousine is very long.,/ðə ˈlɪməziːn ɪz ˈvɛri lɔːŋ/,de limuzin is beri long.,La limusina es muy larga.
The ditch has water.,/ðə dɪʧ hæz ˈwɔːtər/,de dich jas woter.,La zanja tiene agua.
The square is big.,/ðə skwɛər ɪz bɪɡ/,de skuer is big.,La plaza es grande.
It has high horsepower.,/ɪt hæz haɪ ˈhɔːrsaʊər/,it has jai jorsaues.,Tiene mucha potencia.
The car has high speed.,/ðə kɑːr hæz haɪ spiːd/,de car jas jai espid.,El coche tiene alta velocidad.
The lamppost has a light.,/ðə ˈlæmpoʊst hæz aɪ laɪt/,de lampost jas a lait.,El poste de luz tiene una luz.
He has a scratch on his hand.,/hiː hæz ə skrætʃ ɒn hɪz hænd/,ji jas a scrach on is jand.,Tiene un rasguño en la mano.
The tire has a puncture.,/ðə ˈtaɪər hæz ə ˈpʌŋkʧər/,de taiar jaz a puncher,El neumático tiene un pinchazo.
The toprope is very strong.,/ðə ˈtəʊrəʊp ɪz ˈvɛri strɒŋ/,de toproip uer veri strong,La cuerda de remolque es muy fuerte.
This seat is very soft.,/ðɪs siːt ɪz ˈvɛri sɒft/,dis sit is beri soft.,Este asiento es muy suave.
The headlight is very bright.,/ðə ˈhɛdlaɪt ɪz ˈvɛri braɪt/,de jedlait is very brait.,El faro delantero es muy brillante.
The army is very big.,/ðə ˈɑːmi ɪz ˈvɛri bɪg/,de ar-mi is beri big.,El ejército es muy grande.
He has a cross.,/hiː hæz ə krɒs/,ji jas a cros.,Él tiene una cruz.
The event was very big.,/ðɪ ɪvɛnt wɒz vɛri bɪg/,de event was veri big.,El evento fue muy grande.
I like the fireworks.,/aɪ laɪk ðə faɪəwɜːks/,ai laik de fueiruorks.,Me gustan los fuegos artificiales.
The wreath is big.,/ðə riːθ ɪz bɪɡ/,de riz is big.,La corona es grande.
The dead are here.,/ðə dɛd ɑːr hɪər/,de ded ar jir.,Los muertos están aquí.
The general is here.,/ðə ˈdʒɛnərəl ɪz hɪə/,de yener-al is jier.,El general está aquí.
The patrol is here.,/ðə pəˈtroʊl ɪz hɪər/,de patrol is jir.,La patrulla está aquí.
We eat a big feast.,/wiː iːt ə bɪg fiːst/,wi iit a big fiist.,Comemos un gran festín.
The jubilee is here.,/ðə dʒuːbɪliː ɪz hɪə/,de yubili is jia.,El jubileo está aquí.
She has a big wound.,/ʃiː hæz ə bɪɡ wuːnd/,shi jas a big juind.,Ella tiene una herida grande.
The mammoth is very big.,/ðə ˈmæməθ ɪz ˈvɛri bɪɡ/,de mamoz iz veri big.,El mamut es muy grande.
He has a tool.,/hiː hæz ə tuːl/,ji jas a tul.,Él tiene una herramienta.
She has a decoration.,/ʃiː hæz ə dɛkəˈreɪʃən/,shi jas a dekoréishon.,Ella tiene una condecoración.
She has a pistol.,/ʃiː hæz ə ˈpɪstəl/,shi jas a pistól.,Ella tiene una pistola.
He has a musket.,/hiː hæz ə ˈmʌskɪt/,i jas a musket.,Él tiene un mosquete.
The tank has a big gun.,/ðə tæŋk hæz ə bɪg gʌn/,de tanck jas a big gan.,El tanque tiene un arma grande.
The gun has a big caliber.,/ðə gʌn hæz ə bɪg kælɪbə/,de gan jas a big caliber.,El arma tiene un gran calibre.
This is a big bomb.,/ðɪs ɪz ə bɪg bɒm/,dis is a big bom.,Esta es una bomba grande.
The tribe is big.,/ðə traɪb ɪz bɪɡ/,de tribe is big.,La tribu es grande.
The princess has a dog.,/ðə prɪnˈsɛs hæz ə dɒɡ/,de prinses jas a dog.,La princesa tiene un perro.
We like the highway.,/wiː laɪk ðə ˈhaɪweɪ/,ui laik de jaiuei.,Nos gusta la carretera.
This is a big discovery.,/ðɪs ɪz ə bɪg dɪsˈkʌvəri/,dis is a big discavari.,Este es un gran descubrimiento.
The people are here.,/ðə ˈpiːpl ɑː hɪə/,de pipol ar jir.,La gente está aquí.
The interstate is big.,/ðə ˈɪntərsteɪt ɪz bɪɡ/,de intersteit is big.,La interestatal es grande.
The senator is here.,/ðə ˈsɛnətər ɪz hɪə/,de senator is jier.,El senador está aquí.
The Romans are here.,/ðə ˈrəʊmənz ɑː hɪə/,de romans ar jir.,Los romanos están aquí.
That torture is very bad.,/ðæt ˈtɔːrtʃər ɪz ˈvɛri bæd/,dat torturer is jeri bad.,Esa tortura es muy mala.
The king is very old.,/ðə kɪŋ ɪz ˈvɛri əʊld/,de king is beri old.,El rey es muy viejo.
I like old treasures.,/aɪ laɪk əʊld ˈtrɛʒəz/,ai laik old treshers.,Me gustan los tesoros antiguos.
He has a big weapon.,/hiː hæz ə bɪɡ ˈwɛpən/,ji jas a big uepon.,Él tiene un arma grande.
She has a suspicion.,/ʃi hæz ə səˈspɪʃən/,shi jas a saspision.,Ella tiene una sospecha.
I see the proof here.,/aɪ siː ðə pruːf hɪə/,ai si de pruf jia.,Veo la prueba aquí.
His alibi is very good.,/hɪz ˈælɪbaɪ ɪz ˈvɛri ɡʊd/,is alibai is beri gud.,Su coartada es muy buena.
The station is big.,/ðə ˈsteɪʃən ɪz bɪɡ/,de steishon is big.,La estación es grande.
I like the cosmos.,/aɪ laɪk ðə ˈkɒzmɒs/,ai laik de cosmos.,Me gusta el cosmos.
It is a big case.,/ɪt ɪz ə bɪg keɪs/,it iz a big keis.,Es un caso grande.
He is very suspicious.,/hi ɪz ˈvɛri səˈspɪʃəs/,ji iz veri saspisios.,Él es muy sospechoso.
This is a big injustice.,/ðɪs ɪz ə bɪɡ ɪnˈdʒʌstɪs/,dis is a big inyustis.,Esto es una gran injusticia.
The universe is big.,/ðə ˈjuːnɪvɜːrs ɪz bɪg/,de yuniverz is big.,El universo es grande.
The ocean is very big.,/ðə ˈoʊʃən ɪz ˈvɛri bɪg/,de oshan is beri big.,El océano es muy grande.
The volcano is very big.,/ðə vɒlˈkeɪnoʊ ɪz ˈvɛri bɪg/,de volkeino is veri big.,El volcán es muy grande.
The continent is very big.,/ðə ˈkɒntɪnənt ɪz ˈvɛri bɪɡ/,de kontinent is beri big.,El continente es muy grande.
I see a big comet.,/aɪ siː ə bɪg ˈkɒmɪt/,ai si a big comet.,Veo un cometa grande.
We see the big canyon.,/wiː siː ðə bɪg ˈkænjən/,ui si de big canion.,Vemos el gran cañón.
I like the sun.,/aɪ laɪk ðə sʌn/,ai laik de san.,Me gusta el sol.
He has a long pole.,/hiː hæz ə lɒŋ pəʊl/,ji jas a long pol,Él tiene un poste largo.
I like to dive.,/aɪ laɪk tuː daɪv/,ai laik tu daiv,Me gusta bucear.
The wave is big.,/ðə weɪv ɪz bɪɡ/,de ueiv is big.,La ola es grande.
The storm is big.,/ðə stɔːm ɪz bɪɡ/,de storm iz big,La tormenta es grande.
It is very humid here.,/ɪt ɪz ˈvɛri ˈhjuːmɪd hɪər/,it is veri jiumid jier.,Hace mucho humedad aquí.
I see a crystal here.,/aɪ siː ə ˈkrɪstəl hɪər/,ai si a crystal jier.,Veo un cristol aquí.
The Okavango has water.,/ðə ˌəʊkəˈvæŋɡəʊ hæz ˈwɔːtə/,de okavango jaser woter.,El Okavango tiene agua.
The sun is big.,/ðə sʌn ɪz bɪg/,de san iz big.,El sol es grande.
I like Kilimanjaro.,/aɪ laɪk ˌkɪlɪmənˈdʒɑːrəʊ/,ai laiF kilimanYaro.,Me gusta el Kilimanjaro.
The Pyrenees are big.,/ðə ˈpɪrəniːz ɑː bɪg/,de pireneis ar big.,Los Pirineos son grandes.
The tanker is big.,/ðə ˈtæŋkər ɪz bɪɡ/,de tanker is big.,El petrolero es grande.
The current is very fast.,/ðə ˈkʌrənt ɪz ˈvɛri fæst/,de kurrent is very fast.,La corriente es muy rápida.
The trap is here.,/ðə træp ɪz hɪər/,de trap is jier.,La trampa está aquí.
The heat is very bad.,/ðə hiːt ɪz ˈvɛri bæd/,de jit iz beri bad.,El calor es muy malo.
The flood is very big.,/ðə flʌd ɪz ˈvɛri bɪɡ/,de flad is veri big.,La inundación es muy grande.
The moose is very big.,/ðə muːs ɪz ˈvɛri bɪg/,de mus is beri big.,El alce es muy grande.
He has a bad cold.,/hiː hæz ə bæd kəʊld/,ji jas a bad cold.,Él tiene un fuerte resfriado.
I see a big tornado.,/aɪ siː ə bɪɡ tɔːˈneɪdəʊ/,ai si a big torneido.,Veo un gran tornado.
The walrus has big teeth.,/ðə ˈwɔːlrəs hæz bɪg tiːθ/,de ualrus jas big tid.,La morsa tiene dientes grandes.
The lynx has big ears.,/ðə lɪŋks hæz bɪg ɪəz/,de lincs jas big irs.,El lince tiene orejas grandes.
The fire is big.,/ðə ˈfaɪər ɪz bɪɡ/,de faier is big.,El incendio es grande.
We have a big thunderstorm.,/wiː hæv ə bɪɡ ˈθʌndəstɔːm/,ui jav a big zunderstorm.,Tenemos una gran tormenta.
I like winter.,/aɪ laɪk wɪntə/,ai laik uinter.,Me gusta el invierno.
I like this animal.,/aɪ laɪk ðɪs ˈænɪməl/,ai laik dis animal.,Me gusta este animal.
She has a rottweiler.,/ʃi hæz ə ˈrɑtˌwaɪlər/,shi jas e rotvailer.,Ella tiene un rottweiler.
I see a big bream.,/aɪ siː ə bɪɡ briːm/,ai si a big brim.,Veo una brema grande.
The elephant has big ears.,/ðə ˈɛlɪfənt hæz bɪg ɪəz/,de elefant has big irs.,El elefante tiene orejas grandes.
The albatross has big wings.,/ðə ˈælbətrɒs hæz bɪɡ wɪŋz/,de albatros jas big uings.,El albatros tiene alas grandes.
The pelican has a big beak.,/ðə ˈpɛlɪkən hæz ə bɪɡ biːk/,de pelican jas a big bik.,El pelícano tiene un pico grande.
I like the lamb.,/aɪ laɪk ðə læm/,ai laik de lam.,Me gusta el cordero.
I like my dachshund.,/aɪ laɪk maɪ ˈdæksˌhʊnd/,ai laik mai dajshund.,Me gusta mi perro salchicha.
I like the hawk.,/aɪ laɪk ðə hɔːk/,ai laik de jok.,Me gusta el gavilán.
The bull is big.,/ðə bʊl ɪz bɪɡ/,de bul is big.,El toro es grande.
That mastiff is big.,/ðæt ˈmæstɪf ɪz bɪg/,dat mastif is big.,Ese mastín es grande.
The lake is very big.,/ðə leɪk ɪz ˈvɛri bɪɡ/,de leik is beri big.,El lago es muy grande.
The whale is very big.,/ðə weɪl ɪz ˈvɛri bɪɡ/,de ueil is very big.,La ballena es muy grande.
She has a boa.,/ʃiː hæz ə ˈbəʊə/,shi jas a boa.,Ella tiene una boa.
I see a big mountain.,/aɪ siː ə bɪɡ ˈmaʊntən/,ai si a big maunten.,Veo una gran montaña.
The bird has a big beak.,/ðə bɜːd hæz ə bɪg biːk/,de berd jas a big bik.,El pájaro tiene un pico grande.
I see a big shark.,/aɪ siː ə bɪɡ ʃɑːrk/,ai si a big shark.,Veo un tiburón grande.
I like the ocean.,/aɪ laɪk ðə ˈoʊʃən/,ai laik de oshan.,Me gusta el océano.
The dog has a pedigree.,/ðə dɔːɡ hæz ə ˈpɛdəɡriː/,de dog jas a pedrigri.,El perro tiene un pedigrí.
I like shrimp.,/aɪ laɪk ʃrɪmp/,ai laik shrimp.,Me gusta el camarón.
This is a big lobster.,/ðɪs ɪz ə bɪg ˈlɒbstə/,dis is a big lobster.,Esta es una langosta grande.
He has a saddle.,/hiː hæz ə ˈsædəl/,ji jas a sadel.,Él tiene una silla de montar.
She has a whip.,/ʃiː hæz ə wɪp/,shi jas a guip.,Ella tiene un látigo.
I like the horse.,/aɪ laɪk ðə hɔːrs/,ai laik de jors.,Me gusta el caballo.
I like fruit.,/aɪ laɪk fruːt/,ai laik frut.,Me gusta la fruta.
I like the peach.,/aɪ laɪk ðə piːtʃ/,ai laik de pich.,Me gusta el durazno.
I like the bilberry.,/aɪ laɪk ðə ˈbɪlbəri/,ai laik de bilberi.,Me gusta el arándano.
I like the sequoia.,/aɪ laɪk ðə sɪˈkɔɪə/,ai laik de sikoya.,Me gusta la secoya.
I like the jasmine.,/aɪ laɪk ðə ˈdʒæzmɪn/,ai laik de yasmin.,Me gusta el jazmín.
I like the cep.,/aɪ laɪk ðə sɛp/,ai laik de sep.,Me gusta el cep.
I like this chanterelle.,/aɪ laɪk ðɪs ˌʃæntəˈrɛl/,ai laik dis shanterel.,Me gusta esta cantarela.
We like beans.,/wiː laɪk biːnz/,wi laik bins.,Nos gustan las judías.
I like rice.,/aɪ laɪk raɪs/,ai laik rais.,Me gusta el arroz.
I like eggplant.,/aɪ laɪk ˈɛɡplɑːnt/,ai laik egplant.,Me gusta la berenjena.
I like dill.,/aɪ laɪk dɪl/,ai laik dil.,Me gusta el eneldo.
I like Belgium.,/aɪ laɪk ˈbɛldʒəm/,ai laik Belgium.,Me gusta Bélgica.
It is a big cabbage.,/ɪt ɪz ə bɪɡ ˈkæbɪdʒ/,it is a big cabidy.,Es una col grande.
I like to eat asparagus.,/aɪ laɪk tuː iːt əˈspærəgəs/,ai laik tu it asparagos.,Me gusta comer espárragos.
I like Greek food.,/aɪ laɪk griːk fuːd/,ai laik grik fud.,Me gusta la comida griega.
I like Portuguese food.,/aɪ laɪk ˌpɔːtʃʊˈɡiːz fuːd/,ai laik portuchis fud.,Me gusta la comida portuguesa.
I like Albanian food.,/aɪ laɪk ælˈbeɪniən fuːd/,ai laik albanian food.,Me gusta la comida albanesa.
I like China.,/aɪ laɪk ˈtʃaɪnə/,ai laik chaina.,Me gusta China.
I like Georgia.,/aɪ laɪk ˈdʒɔːrdʒə/,ai laik yorshia.,Me gusta Georgia.
I like Uzbekistan.,/aɪ laɪk ˌʊzbɛkɪˈstɑːn/,ai laik usbekistan.,Me gusta Uzbekistán.
We like Jamaica.,/wiː laɪk dʒəˈmeɪkə/,ui laik yameika.,Nos gusta Jamaica.
I like Ghana.,/aɪ laɪk ˈɡɑːnə/,ai laik gana.,Me gusta Ghana.
I like Bangkok.,/aɪ laɪk bæŋˈkɒk/,ai laik bangkok.,Me gusta Bangkok.
I like Lebanese food.,/aɪ laɪk ˌlɛbəˈniːz fuːd/,ai laik lebanes fud.,Me gusta la comida libanesa.
I like Japanese food.,/aɪ laɪk dʒæpəˈniːz fuːd/,ai laik yapaniis fud.,Me gusta la comida japonesa.
I like Mexican food.,/aɪ laɪk ˈmɛksɪkən fuːd/,ai laik meksikan fud.,Me gusta la comida mexicana.
I see Turkmenistan.,/aɪ siː ˌtɜːrkˌmɛnɪˈstɑːn/,ai si turkmenistan.,Veo Turkmenistán.
He has citizenship.,/hiː hæz ˈsɪtɪzənʃɪp/,ji jas sitisenship.,Él tiene ciudadanía.
I like Havana.,/aɪ laɪk həˈvænə/,ai laik jabana.,Me gusta La Habana.
I like Lisbon.,/aɪ laɪk ˈlɪzbən/,ai laik lisbon.,Me gusta Lisboa.
I like Munich.,/aɪ laɪk ˈmjuːnɪk/,ai laik miunik.,Me gusta Múnich.
I like Toronto.,/aɪ laɪk təˈrɒntoʊ/,ai laik toronto.,Me gusta Toronto.
I like politics.,/aɪ laɪk ˈpɒlɪtɪks/,ai laik polutiks.,Me gusta la política.
He is very liberal.,/hiː ɪz ˈvɛri ˈlɪbərəl/,ji is very liberal.,Él es muy liberal.
She is very powerful.,/ʃi ɪz ˈvɛri ˈpaʊərfəl/,shi is beri pauerful.,Ella es muy poderosa.
It is a big crisis.,/ɪt ɪz ə bɪg ˈkraɪsɪs/,it is a big kraisis.,Es una gran crisis.
The world is big.,/ðə wɜːld ɪz bɪɡ/,de uerld is big.,El mundo es grande.
He has a soul.,/hiː hæz ə səʊl/,ji jas a soul.,Él tiene un alma.
The good is important here.,/ðə ɡʊd ɪz ɪmˈpɔːtənt hɪə/,de gud is important jier.,El bien es importante aquí.
I like to confess.,/aɪ laɪk tuː kənˈfɛs/,ai laik tu confes.,Me gusta confesar.
They like Hinduism.,/ðeɪ laɪk ˈhɪnduːɪzəm/,dei laik hinduism.,A ellos les gusta el hinduismo.
The mosque is big.,/ðə mɒsk ɪz bɪɡ/,de mosk is big.,La mezquita es grande.
The sacrifice is big.,/ðə ˈsækrɪfaɪs ɪz bɪɡ/,de sakrafais is big.,El sacrificio es grande.
He has a high degree.,/hiː hæz ə haɪ dɪˈɡriː/,ji jas a jai digri.,Él tiene un alto grado.
The witch has a cat.,/ðə wɪtʃ hæz ə kæt/,de guich jas a kat.,La bruja tiene un gato.
The abbot is here.,/ði ˈæbət ɪz hɪə/,de abot is jiir,El abad está aquí.
The synagogue is here.,/ðə ˈsɪnəɡɒɡ ɪz hɪə/,de synagogue is jier.,La sinagoga está aquí.
It is big.,/ɪt ɪz bɪg/,it is big.,Es grande.
You are very nice.,/juː ɑːr ˈvɛri naɪs/,yu ar beri nais.,Eres muy amable.
This is a big problem.,/ðɪs ɪz ə bɪɡ ˈprɒbləm/,dis is a big problam.,Este es un gran problema.
It is very easy.,/ɪt ɪz ˈvɛri ˈiːzi/,it is veri isi.,Es muy fácil.
I like your style.,/aɪ laɪk jɔː staɪl/,ai laik yor stail.,Me gusta tu estilo.
I like this type.,/aɪ laɪk ðɪs taɪp/,ai laik dis taip.,Me gusta este tipo.
It is very ancient.,/ɪt ɪz ˈvɛri ˈeɪnʃənt/,it is veri eishent.,Es muy antiguo.
It is very urgent.,/ɪt ɪz ˈvɛri ˈɜːrdʒənt/,it is veri urdyent.,Es muy urgente.
He is very careless.,/hiː ɪz ˈvɛri ˈkɛəlɪs/,ji is veri kerlis.,Él es muy descuidado.
It is very convenient.,/ɪt ɪz ˈvɛri kənˈviːniənt/,it is veri convenient.,Es muy conveniente.
He is very strong.,/hiː ɪz ˈvɛri strɒŋ/,ji is veri strong.,Él es muy fuerte.
He is very young.,/hiː ɪz ˈvɛri jʌŋ/,ji is veri yang.,Él es muy joven.
I am very tired.,/aɪ æm ˈvɛri ˈtaɪəd/,ai am veri taierd.,Estoy muy cansado.
She is very tender.,/ʃiː ɪz ˈvɛri ˈtɛndə/,shi is veri tander.,Ella es muy tierna.
They look very similar.,/ðeɪ lʊk ˈvɛri ˈsɪmɪlə/,dei luks veri similar.,Se ven muy similares.
She has a tan face.,/ʃiː hæz ə tæn feɪs/,shi jas a tan feis.,Ella tiene la cara bronceada.
The room is very quiet.,/ðə ruːm ɪz ˈvɛri kwaɪət/,de rum is veri kuaiet.,La habitación es muy tranquila.
We approach the big house.,/wiː əˈprəʊtʃ ðə bɪɡ haʊs/,ui aprouch de big jaus.,Nos acercamos a la casa grande.
I like the present time.,/aɪ laɪk ðə ˈprɛzənt taɪm/,ai laik de present taim.,Me gusta el tiempo presente.
He is a very polite boy.,/hiː ɪz ə ˈvɛri pəˈlaɪt bɔɪ/,ji is a veri polite boy.,Él es un niño muy educado.
I like tea.,/aɪ laɪk tiː/,ai laik ti.,Me gusta el té.
He has lunch at noon.,/hiː hæz lʌntʃ æt nuːn/,ji jas lanch at nun.,Él almuerza al mediodía.
We go by car.,/wiː ɡəʊ baɪ kɑːr/,ui gou bai car.,Nosotros vamos en coche.
I imagine a big house.,/aɪ ɪˈmædʒɪn ə bɪg haʊs/,ai imachin a big jaus.,Imagino una casa grande.
We go for a swim.,/wiː ɡəʊ fɔːr ə swɪm/,ui gou for a swim.,Vamos a nadar.
I have a try at it.,/aɪ hæv ə traɪ æt ɪt/,ai jav a trai at it.,Lo intento.
I have a new bike.,/aɪ hæv ə nuː baɪk/,ai jav a nu bike.,Tengo una bicicleta nueva.
They go on foot.,/ðeɪ ɡəʊ ɒn fʊt/,dei gou on fut.,Ellos van a pie.
They import cars here.,/ðeɪ ɪmˈpɔːrt kɑːrz hɪər/,dei import cars jir.,Ellos importan coches aquí.
I guarantee it is good.,/aɪ ˌɡærənˈtiː ɪt ɪz ɡʊd/,ai garanti it is gud.,Garantizo que es bueno.
You look like your mom.,/juː lʊk laɪk jɔːr mɒm/,yu luk laik yor mom.,Te pareces a tu mamá.
The flower smells very good.,/ðə ˈflaʊər smels ˈvɛri gʊd/,de flaouer smels veri gud.,La flor huele muy bien.
You can sign the paper here.,/juː kæn saɪn ðə ˈpeɪpə hɪə/,yu can sain de peiper jia.,Puedes firmar el papel aquí.
I can smash the big bug.,/aɪ kæn smæʃ ðə bɪg bʌg/,ai can smach de big bag.,Puedo aplastar el insecto grande.
I permit you to go now.,/aɪ pəˈmɪt juː tuː ɡəʊ naʊ/,ai permit yu tu gou nau.,Te permito ir ahora.
The boat can surface here.,/ðə bəʊt kæn ˈsɜːrfɪs hɪə/,de boat kan serfis jir.,El barco puede salir a la superficie aquí.
He runs fast.,/hiː rʌnz fæst/,ji rans fast.,Él corre rápido.
I look at the dog.,/aɪ lʊk æt ðə dɒɡ/,ai luk at de dog.,Miro al perro.
I make use of it.,/aɪ meɪk juːs ɒv ɪt/,ai meik yus ov it.,Hago uso de ello.
The big tree towers over the house.,/ðə bɪg triː ˈtaʊəz ˈəʊvə ðə haʊs/,de big tri tauers ov de jaus.,El árbol grande se eleva sobre la casa.
